"Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.","Klicken Sie auf den %1 um zur Klarna Händler Onboarding-Seite zu gelangen und Anmeldedaten zu beantragen."
"Order ID",Bestell-ID
Error,Fehler
Reference,Bestellnummer
Reservation,Reservierung
"Merchant Portal","Merchant Portal"
"Invoice ID (#%1)","Rechnungsnummer (#%1)"
"Invalid API version selected!","Ungültige Api-Version ausgewählt!"
"Klarna module country region warning:","Klarna Modul Länderregion Warnung:"
"For the following stores the countries are configured to require a region:","Bei den folgenden Stores erfordert die Ländereinstellung eine Region:"
"Click here to go to <a href=""%1"">Country Configuration</a> and change your settings.","Klicken Sie <a href=""%1"">Country Configuration</a>, um Ihre Einstellungen zu ändern."
"Klarna module store information warning:","Klarna Modul Store-Information Warnung:"
"The following stores require a selected country in the store information","Die folgenden Stores benötigen ein ausgewähltes Land in der Store-Information"
"Click here to go to <a href=""%1"">Store Information</a> and change your settings.","Klicken Sie <a href=""%1"">Store Information</a>, um Ihre Einstellungen zu ändern."
"Warning store address has not been set under Store Information.","Warnung: Die Shopaddresse wurden nicht bei den Shop Informationen hinterlegt"
"Warning debug mode should only be enabled when test mode is active","Warnung: Der debugger Modus sollte nur verwendet werden, wenn die Playground Umgebung verwendet wird"
"Warning the following countries are configured to require a region","Warnung: Bei den folgenden Länder ist die Region ein Pflichtwert"
"API Configuration","API Konfiguration"
"Endpoint","Endpunkt"
"Klarna API username","Klarna API Benutzername"
"Use the API username you downloaded in the Klarna Merchant Portal. Don’t use your email address.","Verwende den API Benutzernamen, welcher im Klarna Händlerportal heruntergelagen wurde. Verwende nicht die Email-Addresse."
"Klarna API password","Klarna API Passwort"
"Use the API password you downloaded in the Klarna Merchant Portal.","Verwende das API Passwort, welches im Klarna Händlerportal heruntergeladen wurde"
"Mode","Modus"
"here","hier"
"Documentation can be found","Für Dokumentation siehe "
"logs can be found","für logging siehe"
"You can report an issue or ask a question","Um ein Problem zu berichten oder eine Frage zu stellen siehe"
"<div class='klarna-payment-logo'></div><div class='klarna-payment-text'>Offer more ways to pay with Klarna. <br/>It's the smooothest way to boost sales and increase your average order value. <br/>You get more customers who buy more and do it more often. And you always get paid in full upfront while your customers pay at a later date.</div>","<div class='klarna-payment-logo'></div><div class='klarna-payment-text'>Biete den Kunden weitere Möglichkeiten zu bezahlen - mit Klarna. <br/>Es ist der angenehmste Weg, um die Verkaufszahlen und den Durchschnittbestellwert zu erhöhen. <br/>Die Anzahl der Kunden wird sich erhöhen, welche mehr und öfters kaufen werden. Zudem wirst du im vornherein ausgezahlt, während die Kunden zu einem späteren Zeitpunkt zahlen.</div>"
